Quote,Author,Tag
"Anybody can look at a pretty girl and see a pretty girl. An artist can look at a pretty girl and see the old woman she will become. A better artist can look at an old woman and see the pretty girl that she used to be. But a great artist-a master-and that is what Auguste Rodin was-can look at an old woman, protray her exactly as she is...and force the viewer to see the pretty girl she used to be...and more than that, he can make anyone with the sensitivity of an armadillo, or even you, see that this lovely young girl is still alive, not old and ugly at all, but simply prisoned inside her ruined body. He can make you feel the quiet, endless tragedy that there was never a girl born who ever grew older than eighteen in her heart...no matter what the merciless hours have done to her. Look at her, Ben. Growing old doesn't matter to you and me; we were never meant to be admired-but it does to them.",Robert Heinlein,art
"What i like about photographs is that they capture a moment that’s gone forever, impossible to reproduce.",Karl Lagerfeld,art
There is nothing more truly artistic than to love people.,Vincent Van Gogh,art
"We don't make mistakes, just happy little accidents.",Bob Ross,art
"You might as well ask an artist to explain his art, or ask a poet to explain his poem. It defeats the purpose. The meaning is only clear thorough the search.",Rick Riordan,art
"Learn the rules like a pro, so you can break them like an artist.",Pablo Picasso,art
"Nothing can cure the soul but the senses, just as nothing can cure the senses but the soul.",Oscar Wilde,art
"I don't mind being burdened with being glamorous and sexual. Beauty and femininity are ageless and can't be contrived, and glamour, although the manufacturers won't like this, cannot be manufactured. Not real glamour; it's based on femininity.",Marilyn Monroe,art
"Every portrait that is painted with feeling is a portrait of the artist, not of the sitter.",Oscar Wilde,art
"It would be possible to describe everything scientifically, but it would make no sense; it would be without meaning, as if you described a Beethoven symphony as a variation of wave pressure.",Albert Einstein,art
We have art in order not to die of the truth.,Friedrich Nietzsche,art
Only put off until tomorrow what you are willing to die having left undone,Pablo Picasso,art
"Go into yourself. Find out the reason that commands you to write; see whether it has spread its roots into the very depths of your heart; confess to yourself whether you would have to die if you were forbidden to write. This most of all: ask yourself in the most silent hour of your night: must I write? Dig into yourself for a deep answer. And if this answer rings out in assent, if you meet this solemn question with a strong, simple “I must,” then build your life in accordance with this necessity; your whole life, even into its humblest and most indifferent hour, must become a sign and witness to this impulse. Then come close to Nature. Then, as if no one had ever tried before, try to say what you see and feel and love and lose... ...Describe your sorrows and desires, the thoughts that pass through your mind and your belief in some kind of beauty - describe all these with heartfelt, silent, humble sincerity and, when you express yourself, use the Things around you, the images from your dreams, and the objects that you remember. If your everyday life seems poor, don’t blame it; blame yourself; admit to yourself that you are not enough of a poet to call forth its riches; because for the creator there is not poverty and no poor, indifferent place. And even if you found yourself in some prison, whose walls let in none of the world’s sounds – wouldn’t you still have your childhood, that jewel beyond all price, that treasure house of memories? Turn your attentions to it. Try to raise up the sunken feelings of this enormous past; your personality will grow stronger, your solitude will expand and become a place where you can live in the twilight, where the noise of other people passes by, far in the distance. - And if out of this turning-within, out of this immersion in your own world, poems come, then you will not think of asking anyone whether they are good or not. Nor will you try to interest magazines in these works: for you will see them as your dear natural possession, a piece of your life, a voice from it. A work of art is good if it has arisen out of necessity. That is the only way one can judge it.",Rainer Maria Rilke,art
"One eye sees, the other feels.",Paul Klee,art
"The trouble is that we have a bad habit, encouraged by pedants and sophisticates, of considering happiness as something rather stupid. Only pain is intellectual, only evil interesting. This is the treason of the artist; a refusal to admit the banality of evil and the terrible boredom of pain.",Ursula K. LeGuin,art
"You don't make a photograph just with a camera. You bring to the act of photography all the pictures you have seen, the books you have read, the music you have heard, the people you have loved.",Ansel Adams,art
"It was culture as class performance, literature fetishised for its ability to take educated people on false emotional journeys, so that they might afterwards feel superior to the uneducated people whose emotional journeys they liked to read about.",Sally Rooney,art
"Paradoxically though it may seem, it is none the less true that life imitates art far more than art imitates life.",Oscar Wilde,art
The human body is the best work of art.,Jess C. Scott,art
"When I was a child my mother said to me, 'If you become a soldier, you'll be a general. If you become a monk, you'll be the pope.' Instead I became a painter and wound up as Picasso.",Pablo Picasso,art
"There are painters who transform the sun to a yellow spot, but there are others who with the help of their art and their intelligence, transform a yellow spot into sun",Pablo Picasso,art
"Closed in a room, my imagination becomes the universe, and the rest of the world is missing out.",Criss Jami,art
"Style is the answer to everything. A fresh way to approach a dull or dangerous thing To do a dull thing with style is preferable to doing a dangerous thing without it To do a dangerous thing with style is what I call art Bullfighting can be an art Boxing can be an art Loving can be an art Opening a can of sardines can be an art Not many have style Not many can keep style I have seen dogs with more style than men, although not many dogs have style. Cats have it with abundance. When Hemingway put his brains to the wall with a shotgun, that was style. Or sometimes people give you style Joan of Arc had style John the Baptist Jesus Socrates Caesar García Lorca. I have met men in jail with style. I have met more men in jail with style than men out of jail. Style is the difference, a way of doing, a way of being done. Six herons standing quietly in a pool of water, or you, naked, walking out of the bathroom without seeing me.",Charles Bukowski,art
The painter has the Universe in his mind and hands.,Leonardo da Vinci,art
"A picture is a secret about a secret, the more it tells you the less you know.",Diane Arbus,art
"When you make music or write or create, it's really your job to have mind-blowing, irresponsible, condomless sex with whatever idea it is you're writing about at the time.",Lady Gaga,art
i am a museum full of art but you had your eyes shut,Rupi Kaur,art
Nature is a haunted house--but Art--is a house that tries to be haunted.,Emily Dickinson,art
"We live in capitalism. Its power seems inescapable. So did the divine right of kings. Any human power can be resisted and changed by human beings. Resistance and change often begin in art, and very often in our art, the art of words.",Ursula K. Le Guin,art
Art is to console those who are broken by life.,Vincent van Gogh,art
"If being an egomaniac means I believe in what I do and in my art or music, then in that respect you can call me that... I believe in what I do, and I'll say it.",John Lennon,art
"The role of the artist is to ask questions, not answer them.",Anton Pavlovich Chekhov,art
"Well, art is art, isn't it? Still, on the other hand, water is water! And east is east and west is west and if you take cranberries and stew them like applesauce they taste much more like prunes than rhubarb does. Now, uh... now you tell me what you know.",Groucho Marx,art
Art is the proper task of life.,Friedrich Nietzsche,art
"A good poem is a contribution to reality. The world is never the same once a good poem has been added to it. A good poem helps to change the shape of the universe, helps to extend everyone's knowledge of himself and the world around him.",Dylan Thomas,art
The chief enemy of creativity is good sense.,Pablo Picasso,art
"There is a vitality, a life force, an energy, a quickening that is translated through you into action, and because there is only one of you in all time, this expression is unique. And if you block it, it will never exist through any other medium and will be lost.",Martha Graham,art
"The aim of art is to represent not the outward appearance of things, but their inward significance.",Aristotle,art
Art without emotion its like chocolate cake without sugar. It makes you gag.,Laurie Halse Anderson,art
"An artist's only concern is to shoot for some kind of perfection, and on his own terms, not anyone else's.",J.D. Salinger,art
"Like any artist without an art form, she became dangerous.",Toni Morrison,art
"All art is a kind of confession, more or less oblique. All artists, if they are to survive, are forced, at last, to tell the whole story; to vomit the anguish up.",James Baldwin,art
One can have no smaller or greater mastery than mastery of oneself.,Leonardo da Vinci,art
He took his pain and turned it into something beautiful. Into something that people connect to. And that's what good music does. It speaks to you. It changes you.,Hannah Harrington,art
Paris is the only city in the world where starving to death is still considered an art.,Carlos Ruiz Zafon,art
The noblest pleasure is the joy of understanding.,Leonardo da Vinci,art
It's not enough to be nice in life. You've got to have nerve.,Georgia O'Keeffe,art
"A writer - and, I believe, generally all persons - must think that whatever happens to him or her is a resource. All things have been given to us for a purpose, and an artist must feel this more intensely. All that happens to us, including our humiliations, our misfortunes, our embarrassments, all is given to us as raw material, as clay, so that we may shape our art.",Jorge Luis Borges,art
Art should comfort the disturbed and disturb the comfortable.,Banksy,art
Don’t worry if people think you’re crazy. You are crazy. You have that kind of intoxicating insanity that lets other people dream outside of the lines and become who they’re destined to be.,Jennifer Elisabeth,art
All art is quite useless.,Oscar Wilde,art
"The first step - especially for young people with energy and drive and talent, but not money - the first step to controlling your world is to control your culture. To model and demonstrate the kind of world you demand to live in. To write the books. Make the music. Shoot the films. Paint the art.",Chuck Palahniuk,art
He who works with his hands is a laborer. He who works with his hands and his head is a craftsman. He who works with his hands and his head and his heart is an artist.,Saint Francis of Assisi,art
You use a glass mirror to see your face; you use works of art to see your soul.,George Bernard Shaw,art
"Art, like morality, consists of drawing the line somewhere.",G.K. Chesterton,art
"I don't paint dreams or nightmares, I paint my own reality.",Frida Kahlo,art
"There is a vitality, a life force, an energy, a quickening that is translated through you into action, and because there is only one of you in all of time, this expression is unique. And if you block it, it will never exist through any other medium and it will be lost. The world will not have it. It is not your business to determine how good it is nor how valuable nor how it compares with other expressions. It is your business to keep it yours clearly and directly, to keep the channel open. You do not even have to believe in yourself or your work. You have to keep yourself open and aware to the urges that motivate you. Keep the channel open. ... No artist is pleased. [There is] no satisfaction whatever at any time. There is only a queer divine dissatisfaction, a blessed unrest that keeps us marching and makes us more alive than the others",Martha Graham,art
Art should comfort the disturbed and disturb the comfortable.,Cesar A. Cruz,art
"You don't take a photograph, you make it.",Ansel Adams,art
Art never responds to the wish to make it democratic; it is not for everybody; it is only for those who are willing to undergo the effort needed to understand it.,Flannery O'Connor,art
"Deliver me from writers who say the way they live doesn't matter. I'm not sure a bad person can write a good book. If art doesn't make us better, then what on earth is it for.",Alice Walker,art
The beautiful is always bizarre.,Charles Baudelaire,art
Music produces a kind of pleasure which human nature cannot do without.,Confucius,art
"The most beautiful thing we can experience is the mysterious. It is the source of all true art and all science. He to whom this emotion is a stranger, who can no longer pause to wonder and stand rapt in awe, is as good as dead: his eyes are closed.",Albert Einstein,art
Imagination governs the world.,Napoleon Bonaparte,art
"Here is a lesson in creative writing. First rule: Do not use semicolons. They are transvestite hermaphrodites representing absolutely nothing. All they do is show you've been to college. And I realize some of you may be having trouble deciding whether I am kidding or not. So from now on I will tell you when I'm kidding. For instance, join the National Guard or the Marines and teach democracy. I'm kidding. We are about to be attacked by Al Qaeda. Wave flags if you have them. That always seems to scare them away. I'm kidding. If you want to really hurt your parents, and you don't have the nerve to be gay, the least you can do is go into the arts. I'm not kidding. The arts are not a way to make a living. They are a very human way of making life more bearable. Practicing an art, no matter how well or badly, is a way to make your soul grow, for heaven's sake. Sing in the shower. Dance to the radio. Tell stories. Write a poem to a friend, even a lousy poem. Do it as well as you possibly can. You will get an enormous reward. You will have created something.",Kurt Vonnegut,art
There is no time for cut-and-dried monotony. There is time for work. And time for love. That leaves no other time.,Coco Chanel,art
"Any form of art is a form of power; it has impact, it can affect change – it can not only move us, it makes us move.",Ossie Davis,art
"Life is a blank canvas, and you need to throw all the paint on it you can.",Danny Kaye,art
