Quote,Author,Tag
"So we beat on, boats against the current, borne back ceaselessly into the past.",F. Scott Fitzgerald,inspirational
Well-behaved women seldom make history.,Laurel Thatcher Ulrich,inspirational
"When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.",Mahatma Gandhi,inspirational
"Nothing is impossible, the word itself says 'I'm possible'!",Audrey Hepburn,inspirational
"[...]the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes “Awww!",Jack Kerouac,inspirational
"Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.",Margaret Mead,inspirational
Do what you feel in your heart to be right – for you’ll be criticized anyway.,Eleanor Roosevelt,inspirational
"I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.",Herbert Bayard Swope,inspirational
Happiness is not something ready made. It comes from your own actions.,Dalai Lama XIV,inspirational
Who controls the past controls the future. Who controls the present controls the past.,George Orwell,inspirational
Peace begins with a smile..,Mother Teresa,inspirational
"Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.",John Green,inspirational
"And once the storm is over, you won’t remember how you made it through, how you managed to survive. You won’t even be sure, whether the storm is really over. But one thing is certain. When you come out of the storm, you won’t be the same person who walked in. That’s what this storm’s all about.",Haruki Murakami,inspirational
"I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.",F. Scott Fitzgerald,inspirational
"Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.",C.S. Lewis,inspirational
"Promise Yourself To be so strong that nothing can disturb your peace of mind. To talk health, happiness, and prosperity to every person you meet. To make all your friends feel that there is something in them To look at the sunny side of everything and make your optimism come true. To think only the best, to work only for the best, and to expect only the best. To be just as enthusiastic about the success of others as you are about your own. To forget the mistakes of the past and press on to the greater achievements of the future. To wear a cheerful countenance at all times and give every living creature you meet a smile. To give so much time to the improvement of yourself that you have no time to criticize others. To be too large for worry, too noble for anger, too strong for fear, and too happy to permit the presence of trouble. To think well of yourself and to proclaim this fact to the world, not in loud words but great deeds. To live in faith that the whole world is on your side so long as you are true to the best that is in you.",Christian D. Larson,inspirational
"For attractive lips, speak words of kindness. For lovely eyes, seek out the good in people. For a slim figure, share your food with the hungry. For beautiful hair, let a child run his fingers through it once a day. For poise, walk with the knowledge you’ll never walk alone. ... We leave you a tradition with a future. The tender loving care of human beings will never become obsolete. People even more than things have to be restored, renewed, revived, reclaimed and redeemed and redeemed and redeemed. Never throw out anybody. Remember, if you ever need a helping hand, you’ll find one at the end of your arm. As you grow older, you will discover that you have two hands: one for helping yourself, the other for helping others. Your “good old days” are still ahead of you, may you have many of them.",Sam Levenson,inspirational
May you live every day of your life.,Jonathan Swift,inspirational
"Whatever you are, be a good one.",Abraham Lincoln,inspirational
Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.,Roy T. Bennett,inspirational
"If my life is going to mean anything, I have to live it myself.",Rick Riordan,inspirational
"Two wrongs don't make a right, but they make a good excuse.",Thomas Szasz,inspirational
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,Roy T. Bennett,inspirational
First they ignore you. Then they ridicule you. And then they attack you and want to burn you. And then they build monuments to you.,Nicholas Klein,inspirational
I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,Robert Fulghum,inspirational
Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?,L.M. Montgomery,inspirational
You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.,A.A. Milne,inspirational
Hope is the thing with feathers That perches in the soul And sings the tune without the words And never stops at all.,Emily Dickinson,inspirational
"Instead of worrying about what you cannot control, shift your energy to what you can create.",Roy T. Bennett,inspirational
Hell is empty and all the devils are here.,William Shakespeare,inspirational
"You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.",C. JoyBell C.,inspirational
Pain is inevitable. Suffering is optional.,haruki murakami,inspirational
"If you're reading this... Congratulations, you're alive. If that's not something to smile about, then I don't know what is.",Chad Sugg,inspirational
"It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again, because there is no effort without error and shortcoming; but who does actually strive to do the deeds; who knows great enthusiasms, the great devotions; who spends himself in a worthy cause; who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly, so that his place shall never be with those cold and timid souls who neither know victory nor defeat.",Theodore Roosevelt,inspirational
"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..",John Milton,inspirational
"The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.",J.R.R. Tolkien,inspirational
Talent hits a target no one else can hit. Genius hits a target no one else can see.,Arthur Schopenhauer,inspirational
"There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life. "" Live, then, and be happy, beloved children of my heart, and never forget, that until the day God will deign to reveal the future to man, all human wisdom is contained in these two words, 'Wait and Hope.",Alexandre Dumas,inspirational
Always do what you are afraid to do.,Ralph Waldo Emerson,inspirational
"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.",John Lennon,inspirational
Our lives begin to end the day we become silent about things that matter.,Martin Luther King Jr.,inspirational
Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.,Roy T. Bennett,inspirational
"Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.",Ayn Rand,inspirational
"In the end, we will remember not the words of our enemies, but the silence of our friends.",Martin Luther King Jr.,inspirational
Never let your sense of morals prevent you from doing what is right.,Isaac Asimov,inspirational
"If you remember me, then I don't care if everyone else forgets.",Haruki Murakami,inspirational
"Take responsibility of your own happiness, never put it in other people’s hands.",Roy T. Bennett,inspirational
Waiting is painful. Forgetting is painful. But not knowing which to do is the worst kind of suffering.,Paulo Coelho,inspirational
"Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.",Roy T. Bennett,inspirational
Be mindful. Be grateful. Be positive. Be true. Be kind.,Roy T. Bennett,inspirational
War is peace. Freedom is slavery. Ignorance is strength.,George Orwell,inspirational
"I can be changed by what happens to me. But I refuse to be reduced by it. (Popular misquote of ""You may not control all the events that happen to you, but you can decide not to be reduced by them."")",Maya Angelou,inspirational
"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",Martin Luther King Jr.,inspirational
"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.",Roy T. Bennett,inspirational
I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.,maya angelou,inspirational
Turn your wounds into wisdom.,Oprah Winfrey,inspirational
"Life is too short to waste your time on people who don’t respect, appreciate, and value you.",Roy T. Bennett,inspirational
"When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.",Arthur Conan Doyle,inspirational
Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.,Roy T. Bennett,inspirational
"Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.",Roy T. Bennett,inspirational
"What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again.",Suzanne Collins,inspirational
Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.,Mahatma Gandhi,inspirational
"Don't Just Don't just learn, experience. Don't just read, absorb. Don't just change, transform. Don't just relate, advocate. Don't just promise, prove. Don't just criticize, encourage. Don't just think, ponder. Don't just take, give. Don't just see, feel. Don’t just dream, do. Don't just hear, listen. Don't just talk, act. Don't just tell, show. Don't just exist, live.",Roy T. Bennett,inspirational
"I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.",Mark Twain,inspirational
It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.,Dale Carnegie,inspirational
"It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.",Roy T. Bennett,inspirational
"Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.",Roy T. Bennett,inspirational
"Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.",Roy T. Bennett,inspirational
"I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.",Agatha Christie,inspirational
The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt,inspirational
"You cannot control the behavior of others, but you can always choose how you respond to it.",Roy T. Bennett,inspirational
"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.",Roy T. Bennett,inspirational
"Simplicity, patience, compassion. These three are your greatest treasures. Simple in actions and thoughts, you return to the source of being. Patient with both friends and enemies, you accord with the way things are. Compassionate toward yourself, you reconcile all beings in the world.",Lao Tzu,inspirational
"I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, He will not ask, 'How many good things have you done in your life?' rather He will ask, 'How much love did you put into what you did?",Mother Teresa,inspirational
"We’re all seeking that special person who is right for us. But if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. Only then do you finally know what you’re looking for. You’re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, “This is the problem I want to have.” I will find that special person who is wrong for me in just the right way.",Andrew  Boyd,inspirational
"But I know, somehow, that only when it is dark enough can you see the stars.",Martin Luther King,inspirational
Don't judge each day by the harvest you reap but by the seeds that you plant.,Robert Louis Stevenson,inspirational
"The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.",Roy T. Bennett,inspirational
"He is half of my soul, as the poets say.",Madeline Miller,inspirational
Life becomes easier and more beautiful when we can see the good in other people.,Roy T. Bennett,inspirational
"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.",Steve Maraboli,inspirational
None but ourselves can free our minds.,Bob Marley,inspirational
"Do what is right, not what is easy nor what is popular.",Roy T. Bennett,inspirational
"If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.",Roy T. Bennett,inspirational
"Success is not how high you have climbed, but how you make a positive difference to the world.",Roy T. Bennett,inspirational
"People say nothing is impossible, but I do nothing every day.",A.A. Milne,inspirational
"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.",Rabindranath Tagore,inspirational
It is the time you have wasted for your rose that makes your rose so important.,Antoine de Saint-Exupéry,inspirational
"Pursue what catches your heart, not what catches your eyes.",Roy T. Bennett,inspirational
"Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.",Albert Schweitzer,inspirational
"Dare to Be When a new day begins, dare to smile gratefully. When there is darkness, dare to be the first to shine a light. When there is injustice, dare to be the first to condemn it. When something seems difficult, dare to do it anyway. When life seems to beat you down, dare to fight back. When there seems to be no hope, dare to find some. When you’re feeling tired, dare to keep going. When times are tough, dare to be tougher. When love hurts you, dare to love again. When someone is hurting, dare to help them heal. When another is lost, dare to help them find the way. When a friend falls, dare to be the first to extend a hand. When you cross paths with another, dare to make them smile. When you feel great, dare to help someone else feel great too. When the day has ended, dare to feel as you’ve done your best. Dare to be the best you can – At all times, Dare to be!",Steve Maraboli,inspirational
Keep Going Your hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end.,Roy T. Bennett,inspirational
"The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.",Kalu Ndukwe Kalu,inspirational
"A painter should begin every canvas with a wash of black, because all things in nature are dark except where exposed by the light.",Leonardo da Vinci,inspirational
A woman's heart should be so hidden in God that a man has to seek Him just to find her.,Max Lucado,inspirational
Pain is temporary. Quitting lasts forever.,Lance Armstrong Sally Jenkins,inspirational
Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.,C. JoyBell C.,inspirational
"Make improvements, not excuses. Seek respect, not attention.",Roy T. Bennett,inspirational
"When I was a little girl I used to read fairy tales. In fairy tales you meet Prince Charming and he's everything you ever wanted. In fairy tales the bad guy is very easy to spot. The bad guy is always wearing a black cape so you always know who he is. Then you grow up and you realize that Prince Charming is not as easy to find as you thought. You realize the bad guy is not wearing a black cape and he's not easy to spot; he's really funny, and he makes you laugh, and he has perfect hair.",Taylor Swift,inspirational
You never fail until you stop trying.,Albert Einstein,inspirational
"The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.",Jim MORRISON,inspirational
Learn to light a candle in the darkest moments of someone’s life. Be the light that helps others see; it is what gives life its deepest significance.,Roy T. Bennett,inspirational
It's kind of fun to do the impossible.,Walt Disney,inspirational
All the darkness in the world cannot extinguish the light of a single candle.,St. Francis Of Assisi,inspirational
"I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.",Santosh Kalwar,inspirational
Start each day with a positive thought and a grateful heart.,Roy T. Bennett,inspirational
"Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way.",Viktor E. Frankl,inspirational
"To see a World in a Grain of Sand And a Heaven in a Wild Flower, Hold Infinity in the palm of your hand And Eternity in an hour.",William Blake,inspirational
"Treat everyone with politeness and kindness, not because they are nice, but because you are.",Roy T. Bennett,inspirational
"If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.",C. JoyBell C.,inspirational
"Be grateful for what you already have while you pursue your goals. If you aren’t grateful for what you already have, what makes you think you would be happy with more.",Roy T. Bennett,inspirational
"Hope Smiles from the threshold of the year to come, Whispering 'it will be happier'...",Alfred Lord Tennyson,inspirational
"Start writing, no matter what. The water does not flow until the faucet is turned on.",Louis L'Amour,inspirational
"Believe in Your Heart Believe in your heart that you're meant to live a life full of passion, purpose, magic and miracles.",Roy T. Bennett,inspirational
